"goals","matches","player","team","data_source_url"
"16","24","Miroslav Klose","Germany","https://en.wikipedia.org/wiki/FIFA_World_Cup#Results"
"15","19","Ronaldo","Brazil","https://en.wikipedia.org/wiki/FIFA_World_Cup#Results"
"14","13","Gerd Müller","West Germany","https://en.wikipedia.org/wiki/FIFA_World_Cup#Results"
"13","6","Just Fontaine","France","https://en.wikipedia.org/wiki/FIFA_World_Cup#Results"
"13","26","Lionel Messi","Argentina","https://en.wikipedia.org/wiki/FIFA_World_Cup#Results"
"12","14","Kylian Mbappé","France","https://en.wikipedia.org/wiki/FIFA_World_Cup#Results"
"12","14","Pelé","Brazil","https://en.wikipedia.org/wiki/FIFA_World_Cup#Results"
"11","5","Sándor Kocsis","Hungary","https://en.wikipedia.org/wiki/FIFA_World_Cup#Results"
"11","17","Jürgen Klinsmann","Germany","https://en.wikipedia.org/wiki/FIFA_World_Cup#Results"
"10","10","Helmut Rahn","Germany","https://en.wikipedia.org/wiki/FIFA_World_Cup#Results"
"10","12","Gabriel Batistuta","Argentina","https://en.wikipedia.org/wiki/FIFA_World_Cup#Results"
"10","12","Gary Lineker","England","https://en.wikipedia.org/wiki/FIFA_World_Cup#Results"
"10","13","Teófilo Cubillas","Peru","https://en.wikipedia.org/wiki/FIFA_World_Cup#Results"
"10","19","Thomas Müller","Germany","https://en.wikipedia.org/wiki/FIFA_World_Cup#Results"
"10","20","Grzegorz Lato","Poland","https://en.wikipedia.org/wiki/FIFA_World_Cup#Results"
