"breadcrumbs","product_name","description","selling_price","original_price","discount_percentage","url","data_source_url"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","ELIBLISS Strawberry Lip Serum for Dry, Dark & Plump Lips with for Hydrated Lips","ELIBLISS Strawberry Lip Serum for Dry, Dark & Plump Lips with for Hydrated Lips","₹38","₹383.","84% off","https://www.shopsy.in/elibliss-strawberry-lip-serum-dry-dark-plump-lips-hydrated-lips/p/itm828232a8467e2?pid=XLIHHP8XQQHHQCWM&lid=LSTXLIHHP8XQQHHQCWMC53P0V&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","Renew Roots Ceramide Lip Balm with SPF50 PA+++ - Kojic Acid & Niacinamide","Renew Roots Ceramide Lip Balm with SPF50 PA+++ - Kojic Acid & Niacinamide Natural Beetroot","₹124","₹1243.","75% off","https://www.shopsy.in/renew-roots-ceramide-lip-balm-spf50-pa-kojic-acid-niacinamide-natural-beetroot/p/itm267c95c061205?pid=XLIHJQHP8MZMNY6U&lid=LSTXLIHJQHP8MZMNY6U917O6U&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","deconstruct Brightening Lip Balm-Brightens Pigmented lips| Prevents Sun Damage|For dark lips","deconstruct Brightening Lip Balm-Brightens Pigmented lips| Prevents Sun Damage|For dark lips","₹173","₹199","13% off","https://www.shopsy.in/deconstruct-brightening-lip-balm-brightens-pigmented-lips-prevents-sun-damage-for-dark-lips/p/itmf4ef687b47644?pid=XLIH3MGKZGNAUUV&lid=LSTXLIH3MGKZGNAUUVGY2ZGV&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","Pink Magic Lipbalm","Pink Magic Lipbalm","₹16","₹199","91% off","https://www.shopsy.in/pink-magic-lipbalm/p/itm48c4788e01dfc?pid=XLIH3MGKXGJNGAUUV&lid=LSTXLIH3MGKXGJNGAUUV3XQ86W&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","Foxtale Brightening SPF30 Lip Balm with Peptides, Vitamin C & Hyaluronic Acid (Pink)","Foxtale Brightening SPF30 Lip Balm with Peptides, Vitamin C & Hyaluronic Acid (Pink)","₹131","₹275","52% off","https://www.shopsy.in/foxtale-brightening-spf30-lip-balm-peptides-vitamin-c-hyaluronic-acid-pink/p/itm6011b04f002de?pid=XLIH6S56WHZN4SFB&lid=LSTXLIH6S56WHZN4SFBS48Q5R&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","ELIBLISS Strawberry Lip Serum for Soft, Moisturised Lips with Glossy & Shine Effect","ELIBLISS Strawberry Lip Serum for Soft, Moisturised Lips with Glossy & Shine Effect","₹38","₹383.","84% off","https://www.shopsy.in/elibliss-strawberry-lip-serum-soft-moisturised-lips-glossy-shine-effect/p/itm45a9c063d87ae?pid=XLIHK7EGQJRK784&lid=LSTXLIHK7EGQJRK784OKDMDH&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","DERMATOUCH Kojic Acid Ceramide SPF 50 PA+++ Natural Lip Balm for Pigmented & Dry Lips","DERMATOUCH Kojic Acid Ceramide SPF 50 PA+++ Natural Lip Balm for Pigmented & Dry Lips","₹131","₹249","47% off","https://www.shopsy.in/dermatouch-kojic-acid-ceramide-spf-50-pa-natural-lip-balm-pigmented-dry-lips/p/itm614513715e744?pid=XLIHHGQXA7M4G5VB&lid=LSTXLIHHGQXA7M4G5VBV35F2K&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","Dot & Key Meltie Lip Balm SPF 50+ PA+++, Berry Crumble","Dot & Key Meltie Lip Balm SPF 50+ PA+++, Berry Crumble","₹213","₹249","14% off","https://www.shopsy.in/dot-key-meltie-lip-balm-spf-50-pa-berry-crumble/p/itm084d8369e034f?pid=XLIHJHUBHMZNBHGP&lid=LSTXLIHJHUBHMZNBHGP3U3V5A&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","Chemist at Play Cherry Lip Balm | Repairs Chapped Lips | Brightens Dark Lips | 1% Kojic Acid","Chemist at Play Cherry Lip Balm | Repairs Chapped Lips | Brightens Dark Lips | 1% Kojic Acid","₹206","₹299","31% off","https://www.shopsy.in/chemist-play-cherry-lip-balm-repairs-chapped-lips-brightens-dark-lips-1-kojic-acid/p/itm92341365540b3?pid=XLIHJWEZVMUTAHY&lid=LSTXLIHJWEZVMUTAHYV8QIK4&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","DERMATOUCH Kojic Acid Ceramide SPF 50 PA+++ Cherry Red Lip Balm for Pigmented & Dry Lips","DERMATOUCH Kojic Acid Ceramide SPF 50 PA+++ Cherry Red Lip Balm for Pigmented & Dry Lips","₹131","₹249","47% off","https://www.shopsy.in/dermatouch-kojic-acid-ceramide-spf-50-pa-cherry-red-lip-balm-pigmented-dry-lips/p/itm80825f48193d8?pid=XLIHHGPFSHBGVUTF&lid=LSTXLIHHGPFSHBGVUTFE2VGL9&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
